tag_id,name,category,count,right_tag_cn,game
1791857,painting_(action),0,1829,painting_(action),action
1875916,tiki_(adult)_(fire_emblem),4,912,tiki_(adult)_(fire_emblem),adult)_(fire_emblem
512930,alice_(alice_in_wonderland),4,2801,alice_(alice_in_wonderland),alice_in_wonderland
1663193,white_rabbit_(alice_in_wonderland),4,844,white_rabbit_(alice_in_wonderland),alice_in_wonderland
1663181,alice_(alice_in_wonderland)_(cosplay),0,1172,alice_(alice_in_wonderland)_(cosplay),alice_in_wonderland)_(cosplay
1565907,seele_(alter_ego),4,826,seele_(alter_ego),alter_ego
1593833,crewmate_(among_us),4,1019,crewmate_(among_us),among_us
528716,yui_(angel_beats!),4,1170,yui_(angel_beats!),angel_beats!
1325214,seal_(animal),0,891,seal_(animal),animal
571097,crane_(animal),0,935,crane_(animal),animal
594366,bat_(animal),0,11529,bat_(animal),animal
1230568,isabelle_(animal_crossing),4,1110,isabelle_(animal_crossing),animal_crossing
1512399,wraith_(apex_legends),4,1409,wraith_(apex_legends),apex_legends
1526355,wattson_(apex_legends),4,1523,wattson_(apex_legends),apex_legends
1623487,crypto_(apex_legends),4,761,crypto_(apex_legends),apex_legends
595668,hatsune_miku_(append),4,1548,hatsune_miku_(append),append
652982,visor_(armor),0,1578,visor_(armor),armor
1299315,spoiler_(automobile),0,863,spoiler_(automobile),automobile
981832,guts_(berserk),4,1019,guts_(berserk),berserk
446937,reiuji_utsuho_(bird),4,1451,reiuji_utsuho_(bird),bird
1279056,revy_(black_lagoon),4,906,revy_(black_lagoon),black_lagoon
1591011,nia_(blade)_(xenoblade),4,1067,nia_(blade)_(xenoblade),blade)_(xenoblade
1310847,hunter_(bloodborne),4,905,hunter_(bloodborne),bloodborne
1317200,endeavor_(boku_no_hero_academia),4,1909,endeavor_(boku_no_hero_academia),boku_no_hero_academia
1492855,hawks_(boku_no_hero_academia),4,1431,hawks_(boku_no_hero_academia),boku_no_hero_academia
1892221,jug_(bottle),0,657,jug_(bottle),bottle
1287696,yumi_(bow),0,725,yumi_(bow),bow
1641409,ingrid_(capcom),4,701,ingrid_(capcom),capcom
2061489,takanashi_kiara_(casual),4,706,takanashi_kiara_(casual),casual
2061491,gawr_gura_(casual),4,770,gawr_gura_(casual),casual
2061500,shirogane_noel_(casual),4,888,shirogane_noel_(casual),casual
2061496,sakura_miko_(casual),4,931,sakura_miko_(casual),casual
439625,kaenbyou_rin_(cat),4,2457,kaenbyou_rin_(cat),cat
1827083,yoru_(chainsaw_man),4,1426,yoru_(chainsaw_man),chainsaw_man
1515819,power_(chainsaw_man),4,4069,power_(chainsaw_man),chainsaw_man
1589614,pochita_(chainsaw_man),4,1295,pochita_(chainsaw_man),chainsaw_man
1516925,makima_(chainsaw_man),4,6072,makima_(chainsaw_man),chainsaw_man
1528128,himeno_(chainsaw_man),4,1298,himeno_(chainsaw_man),chainsaw_man
1563389,angel_devil_(chainsaw_man),4,727,angel_devil_(chainsaw_man),chainsaw_man
1568796,quanxi_(chainsaw_man),4,732,quanxi_(chainsaw_man),chainsaw_man
