tag_id,name,category,count,right_tag_cn
21,suigintou,4,4617,水银灯(蔷薇少女)
41,suiseiseki,4,2040,翠星石(蔷薇少女)
42,souseiseki,4,1637,苍星石(蔷薇少女)
99,shinku,4,2278,真红(蔷薇少女)
128,loli,0,124937,萝莉
286,kooh,4,993,库(魔法飞球)
403,chikan,0,786,痴汉
555,haro,4,1278,哈罗
1601,clapping,0,1368,鼓掌
1720,cirno,4,33294,琪露诺(东方Project)
1765,cello,0,703,大提琴
1778,urinal,0,732,小便池
1799,koakuma,4,14297,小恶魔
1943,ad,0,1032,广告
2081,hospital,0,843,医院
2082,rumia,4,18126,露米娅(东方Project)
2145,juice,0,1711,果汁
2321,phoenix,0,737,凤凰
2391,square,0,731,广场/方形
2614,shota,0,18226,正太
2618,jam,0,742,果酱
2660,lettuce,0,1759,生菜
2730,massage,0,933,按摩
3030,mario,4,3760,马力欧
3184,mg42,0,669,MG42（机枪型号）
3327,graduation,0,717,毕业
3513,goat,0,894,山羊
3628,decapitation,0,893,斩首
3861,pikachu,4,10538,皮卡丘
3927,gao,0,842,高
4047,pickaxe,0,1162,镐
4079,isometric,0,848,等距
4209,cauldron,0,785,大锅
4281,hole,0,1044,洞
4322,band,0,694,乐队/条纹
4374,meta,0,913,元数据/元
4419,shogi,0,667,将棋
4516,poring,4,701,波利
4517,gymnastics,0,990,体操
4587,shana,4,2441,夏娜
4740,disguise,0,703,伪装
4760,campfire,0,1430,篝火
4858,chocobo,4,916,陆行鸟
4906,lum,4,2182,拉姆
4908,kero,4,1488,科罗
5036,signum,4,1699,席格娜
5102,wizard,0,894,巫师
5119,pinwheel,0,1240,风车
5302,elvaan,0,944,艾尔瓦族（最终幻想XI种族）
5402,crowbar,0,837,撬棍
5565,:3,0,93246,:3（颜文字）
5756,van,0,732,厢式货车
5817,sauna,0,1049,桑拿
6033,bacon,0,665,培根
6177,moogle,4,1269,莫古力
6313,link,4,12385,林克
6368,calligraphy,0,687,书法
6429,dwarf,0,960,矮人
6477,prank,0,798,恶作剧
7439,kinomoto_sakura,4,6112,木之本樱
7441,fate_testarossa,4,9158,菲特·泰斯特罗莎
7477,noumi_kudryavka,4,1925,能美·库特莉亚芙卡
7559,luigi,4,1585,路易吉
7700,weightlifting,0,1093,举重
7866,tsukino_usagi,4,5078,月野兔
7914,mizuno_ami,4,1954,水野亚美
7945,oar,0,658,桨
8048,sailor_moon,4,3646,水兵月
8072,black_socks,0,66442,黑袜
8079,warrior,0,830,战士
8107,bulma,4,1712,布尔玛
8108,piccolo,4,748,比克
8151,hino_rei,4,1653,火野丽
8152,kino_makoto,4,1536,木野真琴
8305,tomoe_hotaru,4,1144,土萌萤
8330,hoshino_ruri,4,807,星野琉璃
8552,takamachi_nanoha,4,7658,高町奈叶
8553,yagami_hayate,4,3199,八神疾风
